Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Victim Category,Sources_1,Sources_2,Sources_3,Who_attributed,APT_Family
Targeting of Hong Kong citizens with mobile malware,3/24/2020,Lotus Blossom,The Chinese threat actor Lotus Blossom used watering holes on fake news sites to deploy iOS exploits against Hong Kong citizens.,,Hong Kong citizens with iPhones,China,Civil Espionage,"Civil society, Private sector",https://securelist.com/ios-exploit-chain-deploys-lightspy-malware/96407/,https://blog.trendmicro.com/trendlabs-security-intelligence/operation-poisoned-news-hong-kong-users-targeted-with-mobile-malware-via-local-news-links/,,"Kaspersky, TrendMicro",Lotus Blossom
Targeting of Malaysian government officials,2/7/2020,APT 40,"APT 40, a threat actor believed to be associated with the Chinese government, allegedly targeted Malaysian government officials with highly targeted spear-phishing attacks in order to install malware and steal confidential documents from government networks.",Confirmation   https://www.zdnet.com/article/malaysia-warns-of-chinese-hacking-campaign-targeting-government-projects/,Malaysian government officials,China,Political Espionage,Government,https://www.mycert.org.my/portal/advisory?id=MA-770.022020,https://www.zdnet.com/article/malaysia-warns-of-chinese-hacking-campaign-targeting-government-projects/,,MyCert,APT 40
Targeting of over seventy-five organizations,3/25/2020,APT 41,The Chinese threat actor APT 41 attempted to exploit three vulnerabilities at over seventy-five organizations across sectors and countries. This was one of the most widespread attacks by a Chinese threat actor in years.,,Multiple entities across the world.,China,Espionage,"Government, Private sector, Civil society",https://www.fireeye.com/blog/threat-research/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html,https://www.cyberscoop.com/apt-41-citrix-cisco-zoho-china-cyber-espionage-fireeye/,,FireEye,APT 41
Konni Group,1/23/2020,,Attempted??to trick employees of unnamed U.S. government agency to install malware on their computers via a spearphishing campaign.,,,Korea (Democratic People's Republic of),,,https://blog.talosintelligence.com/2017/05/konni-malware-under-radar-for-years.html,https://unit42.paloaltonetworks.com/the-fractured-statue-campaign-u-s-government-targeted-in-spear-phishing-attacks/#Attribution,,"Cisco Talos, Palo Alto Networks",
Intensified attacks against Ukrainian national security targets,2/5/2020,Gamaredon,The Russia-aligned threat actor Gamaredon intensified its efforts to compromise Ukrainian defense and intelligence targets. The attacks include both cyberespionage and attempted sabotage of physical assets.,,Ukrainian national security targets,Russian Federation,Sabotage,Government,https://threatpost.com/gamaredon-apt-toolset-ukraine/152568/,https://labs.sentinelone.com/pro-russian-cyberspy-gamaredon-intensifies-ukrainian-security-targeting/,,SentinelLabs,Gamaredon
Targeting of North Koreans and North Korea???focused professionals,3/26/2020,DarkHotel,"DarkHotel, a South Korea???linked threat actor, used five zero-days in a single campaign targeting North Koreans, demonstrating an unusual level of sophistication.",,North Koreans and North Korean???focused professionals,Korea (Republic of),Espionage,Government,https://www.wired.com/story/north-korea-hacking-zero-days-google/,https://blog.google/technology/safety-security/threat-analysis-group/identifying-vulnerabilities-and-protecting-you-phishing/,,Kaspersky,DarkHotel
Attack on Austrian foreign ministry,2/13/2020,Turla,The suspected Russian hackers conducted a weeks-long attack on Austria???s foreign ministry.,Confirmation   https://www.theregister.co.uk/2020/02/14/austria_foreign_ministry_hack_turla_group_allegs/,Austrian Foreign Ministry,Russian Federation,Political Espionage,Government,https://www.theregister.co.uk/2020/02/14/austria_foreign_ministry_hack_turla_group_allegs/,https://www.bmeia.gv.at/en/the-ministry/press/announcements/2020/02/cyber-attack-on-the-foreign-ministry-is-over/,,Austrian media,Turla
Spear-phishing campaign against unnamed U.S. government agency,1/23/2020,Konni Group,The suspected North Korean threat actor Konni Group attempted to trick employees of an unnamed U.S. government agency to install malware on their computers via a spear-phishing campaign.,,Employees of the U.S. government,Korea (Democratic People's Republic of),Political Espionage,Government,https://unit42.paloaltonetworks.com/the-fractured-statue-campaign-u-s-government-targeted-in-spear-phishing-attacks/#Attribution,,,Palo Alto Networks,Konni Group
Catfishing of Israeli soldiers,2/16/2020,APT-C-23,The Hamas-associated threat actor APT-C-23 targeted Israeli soldiers by pretending to be women looking for romantic partners. Duped soldiers were then enticed to download apps that contained spyware onto their phones.,Hack Back   https://www.bleepingcomputer.com/news/security/hacker-group-catfishes-israeli-soldiers-into-installing-mobile-rat/,Israeli Defense Forces (IDF) soldiers,"Palestine, State of",Military Espionage,Military,https://www.bleepingcomputer.com/news/security/hacker-group-catfishes-israeli-soldiers-into-installing-mobile-rat/,https://research.checkpoint.com/2020/hamas-android-malware-on-idf-soldiers-this-is-how-it-happened/,,IDF,APT-C-23
Tracking of Saudi Arabian citizens in the United States,3/29/2020,Government of Saudi Arabia,The Saudi Arabian government used flaws in the global Signaling System 7 (SS7) to track Saudis in the United States by sending requests through Saudi phone companies.,,Saudi Arabian citizens in the Untied States,Saudi Arabia,Civil Espionage,Private sector,https://www.theguardian.com/world/2020/mar/29/revealed-saudis-suspected-of-phone-spying-campaign-in-us,https://techcrunch.com/2020/03/29/saudi-spies-ss7-phone-tracking/,,Unknown,
Targeting of Burisma,1/13/2020,APT 28,"The alleged Russian actors hacked Burisma, a Ukrainian gas company whose board Joe Biden???s son sat on. President Trump had previously pressed Ukraine to open an investigation into Biden and Burisma, which led to his impeachment.",,Burisma,Russian Federation,Political Espionage,Private sector,https://www.bbc.com/news/world-us-canada-51103556,https://www.nytimes.com/2020/01/13/us/politics/russian-hackers-burisma-ukraine.html,,Unknown,APT 28
Targeting of  New York Times journalist Ben Hubbard,1/28/2020,KINGDOM,The Saudi hackers KINGDOM launched a phishing attack to attempt to trick ??journalist Ben Hubbard into installing NSO Group???s Pegasus malware onto his phone. Hubbard does not recall clicking on the infected link sent to him via text message and it is unknown if his phone was infected.,,Ben Hubbard,Saudi Arabia,Civil Espionage,Civil society,https://citizenlab.ca/2020/01/stopping-the-press-new-york-times-journalist-targeted-by-saudi-linked-pegasus-spyware-operator/,,,CitizenLab,KINGDOM
"Targeting of companies in the United States, Israel, Saudi Arabia, and elsewhere",2/16/2020,"APT 34, possibly APT 33/APT 39.","The Iranian threat actors targeted dozens of companies in the United States, Israel, Saudi Arabia, and elsewhere. They exploited VPNs for initial access and breached additional companies via supply chain attacks.",,Private companies in numerous countries,Iran (Islamic Republic of),Commercial Espionage,Private sector,https://www.clearskysec.com/wp-content/uploads/2020/02/ClearSky-Fox-Kitten-Campaign.pdf,,,ClearSky,APT 34
Compromise of Bapco,1/8/2020,APT 34,"The Iranian state-backed hackers installed malware on the network of Bapco, Bahrain???s national oil producer. The malware, called Dustman, used a wiper functionality, but experts suspect this could have been meant to erase itself after being discovered.",,Bapco,Iran (Islamic Republic of),Data destruction,Private sector,https://www.zdnet.com/article/new-iranian-data-wiper-malware-hits-bapco-bahrains-national-oil-company/,https://www.cyberscoop.com/saudi-arabia-iran-cyberattack-soleimani/,,National Cybersecurity Authority,APT 34
Storm Cloud,3/31/2020,NOTE: Some Moonlight Maze tooling has also been referred to as ???Storm Cloud.??? There is no known connection.,Performed highly targeted watering-hole attacks on visitors to Tibetan websites.,,,China,,,https://www.volexity.com/blog/2020/03/31/storm-cloud-unleashed-tibetan-community-focus-of-highly-targeted-fake-flash-campaign/,https://securelist.com/holy-water-ongoing-targeted-water-holing-attack-in-asia/96311/,,"Volexity, Kaspersky",Storm Cloud
"Targeting of Japan, Russia, and South Korean entities",3/5/2020,Tonto Team,"The Chinese government???aligned APT Tonto Team used Bisonal malware for over ten years in various campaigns against entities in Japan, Russia, and South Korea.",,"Japanese, Russian, and South Korean civil society, private sector, and government entities.",China,Espionage,"Civil society, Private sector, Government",https://blog.talosintelligence.com/2020/03/bisonal-10-years-of-play.html,https://malpedia.caad.fkie.fraunhofer.de/actor/tonto_team,https://www.fireeye.com/content/dam/fireeye-www/summit/cds-2019/presentations/cds19-executive-s08-achievement-unlocked.pdf,"Cisco Talos, FireEye",Tonto Team
Targeting of U.S. grid,1/9/2020,APT 33,"The Iranian hackers APT 33 targeted the U.S. electric grid with password-spraying attacks, likely in an attempt to gain access. They targeted only the IT side of networks so far and have not proven their ability to access physical systems.",,The U.S. electrical grid,Iran (Islamic Republic of),Infrastructure Espionage,Private sector,https://www.wired.com/story/iran-apt33-us-electric-grid/,https://dragos.com/resource/north-american-electric-cyber-threat-perspective/,,Dragos,APT 33
Stolen data on nearly two thousand Mitsubishi employees,1/20/2020,APT 17,The China-linked APT 17 threat actor is suspected to have used a zero-day in Trend Micro antivirus to attack Mitsubishi Electric and steal data on thousands of employees.,,Mitsubishi Electric employees,China,Espionage,Private sector,https://www.zdnet.com/article/trend-micro-antivirus-zero-day-used-in-mitsubishi-electric-hack/,https://www.bleepingcomputer.com/news/security/mitsubishi-electric-warns-of-data-leak-after-security-breach/,,TrendMicro,APT 17
Targeting of Tibetans via watering-hole attacks,3/31/2020,Storm Cloud,The Chinese hackers Storm Cloud performed highly targeted watering-hole attacks on visitors to a few Tibetan websites and tried to make them install fake versions of Adobe Flash.,,Tibetans,China,,,https://www.volexity.com/blog/2020/03/31/storm-cloud-unleashed-tibetan-community-focus-of-highly-targeted-fake-flash-campaign/,https://securelist.com/holy-water-ongoing-targeted-water-holing-attack-in-asia/96311/,,"Volexity, Kaspersky",Storm Cloud
Tonto Team,3/5/2020,,"Chinese government-aligned APT that used Bisonal malware for over ten years in various campaigns against entities in Japan, Russia, and South Korea.",,"Japan, Russian Federation, Republic of Korea",China,,,https://blog.talosintelligence.com/2020/03/bisonal-10-years-of-play.html,https://malpedia.caad.fkie.fraunhofer.de/actor/tonto_team,https://www.fireeye.com/content/dam/fireeye-www/summit/cds-2019/presentations/cds19-executive-s08-achievement-unlocked.pdf,"Cisco Talos, FireEye",
Vicious Panda,3/12/2020,,Conducted coronavirus-related phishing campaign against targets in the Mongolian government.,,Mongolia,China,,,https://research.checkpoint.com/2020/vicious-panda-the-covid-campaign/,,,Checkpoint,
Spyware sent to Jeff Bezos on WhatsApp,1/21/2020,Government of Saudi Arabia,"An account belonging to Prince Mohammed bin Salman sent Jeff Bezos spyware masquerading as a video over WhatsApp, which allowed Saudi Arabia to surveil Bezos??? phone from May 2018 until February 2019. The attack could have been related to Bezos??? ownership of the Washington Post, whose columnist Jamal Khashoggi was allegedly killed on bin Salman???s orders.",,Jeff Bezos,Unknown,Civil Espionage,"Private sector, Civil society",https://www.nytimes.com/2020/01/22/world/middleeast/bezos-phone-hacked.html,https://www.npr.org/2020/01/24/799358557/behind-the-suspected-saudi-arabian-hacking-of-jeff-bezos-phone,https://www.ohchr.org/EN/NewsEvents/Pages/DisplayNews.aspx?NewsID=25488&LangID=E,United Nations,
Watering-hole attacks targeting Armenian government websites,3/12/2020,Turla,"The Russian threat actor Turla compromised four Armenian websites, two belonging to the government and two closely related, to use in a strategic web compromise/watering-hole attack.",,Likely Armenian government officials,Russian Federation,Political Espionage,"Government, Civil society",https://www.welivesecurity.com/2020/03/12/tracking-turla-new-backdoor-armenian-watering-holes/,,,ESET,Turla
Targeting of the Mongolian government using coronavirus-related lures,3/12/2020,Vicious Panda,The suspected Chinese threat actor Vicious Panda conducted a coronavirus-related phishing campaign against targets in the Mongolian government.,,Government of Mongolia,China,Political Espionage,Government,https://research.checkpoint.com/2020/vicious-panda-the-covid-campaign/,https://www.zdnet.com/article/state-sponsored-hackers-are-now-using-coronavirus-lures-to-infect-their-targets/,,"Red Drip Team, VinCSS, IssueMakersLab, CrowdStrike, Checkpoint",
Wide-ranging attacks on government organizations and companies across the Middle East and Europe,1/27/2020,Government of Turkey,"The Turkish hackers attacked at least thirty organizations across the Middle East and Europe, including Cypriot and Greek government email services and the Iraqi government???s national security advisor. Their methods include intercepting internet traffic to victim websites.",,Government organizations and companies across the Middle East and Europe,Turkey,Political Espionage,"Government, Private sector, Civil society",https://www.reuters.com/article/us-cyber-attack-hijack-exclusive/exclusive-hackers-acting-in-turkeys-interests-believed-to-be-behind-recent-cyberattacks-sources-idUSKBN1ZQ10X,,,"Team Cymru, US officials, UK officials",
Targeting of universities' maritime military secrets,3/5/2019,Believed to be the work of Leviathan.,"Chinese hackers targeted twenty-seven universities in the United States, Canada, and Southeast Asia as part of a scheme to steal research about maritime technology under development for military use.",,"University of Hawaii, University of Washington, Massachusetts Institute of Technology , Pennsylvania State University, Duke University",China,Military Espionage,"Civil society, Private sector",https://www.wsj.com/articles/chinese-hackers-target-universities-in-pursuit-of-maritime-military-secrets-11551781800,http://fortune.com/2019/03/05/chinese-hackers-targeted-27-universities-to-steal-maritime-research-report-finds/,,"iDefense, FireEye",APT 40
Targeting of a U.S. presidential campaign,10/4/2019,"Believed to be the work of Phosphoros, also known as APT 35","A threat actor targeted the email accounts of an unnamed U.S. presidential campaign, current and former U.S. officials and journalists, and others. During a thirty-day period in August and September, Microsoft observed more than 2,700 attempts to identify the emails of specific customers and 241 hacks.?? Four accounts were compromised, though not those connected to the presidential campaign or the officials. A threat actor linked to the Iranian government unsuccessfully attempted to break into President Donald J. Trump's reelection campaign, according to sources familiar with the incident.??",,An unnamed U.S. presidential campaign,Iran (Islamic Republic of),Political Espionage,Government,https://www.bloomberg.com/news/articles/2019-10-04/microsoft-says-iran-tried-to-hack-a-u-s-presidential-campaign,https://www.reuters.com/article/us-cyber-security-iran-trump-exclusive/exclusive-trump-campaign-targeted-by-iran-linked-hackers-sources-idUSKBN1WJ2B4,,"Microsoft, FireEye",APT 35
Targeting of U.S. manufacturing group,11/13/2019,Government of China,Chinese government hackers attacked the National Association of Manufacturers to steal information that might be useful in U.S.-China trade negotiations.,,National Association of Manufacturers,China,Commercial Espionage,Civil society,https://www.reuters.com/article/us-usa-trade-china-cyber-exclusive/exclusive-u-s-manufacturing-group-hacked-by-china-as-trade-talks-intensified-sources-idUSKBN1XN1AY?il=0,,,Unknown,
Targeting of U.S. government and private entities and other victims,11/13/2019,APT 33,"The Iran-aligned espionage group APT 33 used botnets to launch a campaign against a small number of victims in the public and private sectors in the United States, Asia, and the Middle East.",,"U.S. government,",Iran (Islamic Republic of),Espionage,"Government, Private sector",https://blog.trendmicro.com/trendlabs-security-intelligence/more-than-a-dozen-obfuscated-apt33-botnets-used-for-extreme-narrow-targeting/,,,TrendMicro,APT 33
Attacks in East and Southeast Asia,10/3/2019,PKplug,Chinese government threat actor PKplug targeted organizations in East and Southeast Asia.,,,China,Espionage,,https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/,,,Palo Alto Networks,
Compromise of Bahraini government agencies and critical infrastructure,8/7/2019,,"A threat actor broke into the systems of Bahrain's National Security Agency, Ministry of Interior, and office of the first deputy prime minister. On July 25, 2019, Bahraini authorities detected intrusions into its electric and water authority that shut down several systems. The attacks were similar to two hacks in 2012, in which the Shamoon virus was used to knock Qatar's natural gas firm RasGas offline and wipe data from the hard drives at Saudi Aramco, Saudi Arabia's national oil company.",,Bahrain,Iran (Islamic Republic of),Sabotage,"Government, Private sector",https://www.wsj.com/articles/high-level-cyber-intrusions-hit-bahrain-amid-tensions-with-iran-11565202488,https://www.forbes.com/sites/zakdoffman/2019/08/08/iranian-hackers-suspected-of-cyberattacks-on-bahrain-sending-message-beyond-the-gulf-report/#55cc36a8324b,,US Intelligence,
Targeting of Ukrainian government entities,11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.??",,,,Espionage,,,,,Unknown,Gamaredon
Whitefly,3/6/2019,Believed to be behind the Singapore health-care breach in July 2018.,"This threat actor has been active since mid-2017, targeting mainly health-care, media, telecommunications, and engineering organizations in Singapore, in addition to multinational companies with a presence in the country. The group has also targeted defense, telecommunications, and energy companies in Russia, the United Kingdom, and Southeast Asia. The group relies on a combination of custom malware, open-source hacking tools, and legitimate applications to achieve its goals.",,"Singapore, Russia, United Kingdom",,,"Government, Private sector",https://www.securityweek.com/massive-singapore-healthcare-breach-linked-whitefly-cyberspy-group,https://www.symantec.com/blogs/threat-intelligence/whitefly-espionage-singapore,https://www.reuters.com/article/singapore-cyberattack-symantec/state-sponsored-espionage-group-whitefly-behind-major-singapore-cyberattack-report-idUSL1N20T03V,N/A,
Targeting of Indian space agency,11/7/2019,The Lazarus Group,North Korean hackers attacked the Indian Space Research Organization as part of a broader assault on India???s government agencies.,,Indian Space Research Organization,Korea (Democratic People's Republic of),Political Espionage,Government,https://www.ft.com/content/ac6a8782-ffad-11e9-b7bc-f3fa4e77dd47,https://economictimes.indiatimes.com/tech/internet/isro-warned-of-a-possible-cyberattack-when-dtrack-came-calling/articleshow/71964232.cms,https://www.brecorder.com/2019/11/07/542425/india-plays-down-isro-breach-by-suspected-north-korean-hackers/,"CERT-In, Security Brigade",Lazarus Group
Attack of  Japanese companies with links to China,11/29/2019,APT 17,China-linked espionage group APT 17 targeted companies with head offices in Japan and subsidiaries in China to try to steal highly classified information.,,Japanese organizations with subsidiaries in China,China,Commercial Espionage,Private sector,https://blog.trendmicro.com/trendlabs-security-intelligence/operation-endtrade-finding-multi-stage-backdoors-that-tick/,,,TrendMicro,APT 17
"Attack on U.S. presidential campaign government officials, journalists, and prominent expatriate Iranians",10/4/2019,Phosphorus,"Iranian threat actor Phosphorus attacked 241 email accounts associated with a U.S. presidential campaign government officials, and journalists, and prominent expatriate Iranians.",,"A U.S. presidential campaign, government officials, journalists, and prominent expatriate Iranians",Iran (Islamic Republic of),Political Espionage,"Civil society, Government",https://blogs.microsoft.com/on-the-issues/2019/10/04/recent-cyberattacks-require-us-all-to-be-vigilant/,,,Microsoft,APT 35
Targeting of secure messaging app used by Hong Kong protesters,6/13/2019,Hong Kong police,"Hong Kong authorities used a network of Chinese computers to track protesters' organizing activity on Telegram, a secure messaging app.",,Hong Kong,Hong Kong,Civil Espionage,Civil society,https://www.bloomberg.com/news/articles/2019-08-31/hong-kong-cyber-attack-briefly-disrupts-key-protester-forum,https://www.nytimes.com/2019/06/13/world/asia/hong-kong-telegram-protests.html,,Telegram,
Targeting of Ukrainian government entities,11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",,Ukrainian government entities,Russian Federation,Political Espionage,Government,https://www.anomali.com/files/white-papers/Anomali_Threat_Research-Gamaredon_TTPs_Target_Ukraine-WP.pdf,https://threatpost.com/gamaredon-apt-toolset-ukraine/152568/,,"Anomali Threat Research, SentinelLabs",Gamaredon
2019 Indonesian elections,3/12/2019,Believed to be the work of Russian and Chinese hackers.,Senior Indonesian election officials accused Chinese and Russian hackers of manipulating and modifying Indonesia's voter data base to disrupt the presidential elections.,,Indonesia,"China, Russian Federation",Political Espionage,Government,https://www.bloomberg.com/news/articles/2019-03-12/indonesia-says-poll-under-attack-from-chinese-russian-hackers,https://www.reuters.com/article/us-indonesia-election/indonesia-says-cyber-attacks-wont-disrupt-elections-idUSKBN1QU135,,General Elections Committee,
Compromise of Airbus suppliers,9/26/2019,Believed to be the work of APT 10 or the Jiangsu Province Ministry of State Security.,"A threat actor targeted virtual private networks (VPNs) used by suppliers of European aerospace company Airbus with a series of attacks. The attacks resulted in unauthorized access to data, including the theft of documents related to Airbus's military transport plane A400M, designed with one of the most powerful propeller engines in the world.",,Airbus,China,Military Espionage,Private sector,https://www.france24.com/en/20190926-airbus-hit-by-series-of-cyber-attacks-on-suppliers,https://www.reuters.com/article/us-airbus-cyberattack-report/hackers-tried-to-steal-airbus-secrets-via-contractors-afp-idUSKBN1WB0U9,,Unknown,APT 10
Targeting of Egyptian dissidents,10/3/2019,Government of Egypt,"The Egyptian government installed mobile apps on targets??? phones to extract files, track their locations, and identify contacts.",,"Egyptian journalists, academics, lawyers, opposition politicians, and human rights activists",Egypt,Civil Espionage,Civil society,https://www.nytimes.com/2019/10/03/world/middleeast/egypt-cyber-attack-phones.html,https://research.checkpoint.com/2019/the-eye-on-the-nile/,,Checkpoint,
"Targeting of the Australian Parliament, including the Liberal, National, and Labor Parties",8/15/2019,China???s Ministry of State Security,A threat actor targeted the computer network of the Parliament of Australia. The hackers breached the Parliament's network and the networks of the three largest political parties.,,,China,Political Espionage,,https://www.reuters.com/article/us-australia-china-cyber-exclusive/exclusive-australia-concluded-china-was-behind-hack-on-parliament-political-parties-sources-idUSKBN1W00VF,https://www.theguardian.com/australia-news/2019/feb/08/asio-australian-security-services-hack-data-breach-investigate-attempted-cyber-attack-parliament,,Australian Signals Directorate,
Targeting of South Korean macOS users,11/20/2019,Lazarus Group,The North Korean threat actor Lazarus Group targeted South Korean macOS users with a new malware variant.,,South Korean macOS users,Korea (Democratic People's Republic of),Espionage,,https://blog.trendmicro.com/trendlabs-security-intelligence/mac-backdoor-linked-to-lazarus-targets-korean-users/,,,"TrendMicro, Red Drip Team, Kaspersky, SentinelLabs",Lazarus Group
Targeting of Russian speakers,10/10/2019,Unknown,ESET researchers discovered a new malware called Attor that has been used to target only a few dozen victims since 2013. The victims include diplomatic and government institutions and the malware is designed to steal encryption information from certain applications.,,"Russian speakers, as well as diplomatic and government institutions in Eastern Europe",,Political Espionage,Government,https://www.welivesecurity.com/2019/10/10/eset-discovers-attor-spy-platform/,,,ESET,
Compromise of websites related to Uighur communities,9/3/2019,"Believed to be the work of at least two unnamed APT groups, including Evil Eye","Multiple threat actors compromised and exploited eleven websites that published news and cultural information related to the Uighur populations in China, particularly the East Turkestan region. The threat actors imitated the domains of Google, the Turkistan Times, and the Uyghur Academy, and used Google applications to gain access to Gmail accounts. Among other sensitive details collected were the hacked devices??? unique identification numbers, phone numbers, locations, central processing unit (CPU) data, and usernames.",,China,China,Civil Espionage,Civil society,https://www.cyberscoop.com/china-uyghur-hacking-china-android-iphone/,https://www.volexity.com/blog/2019/09/02/digital-crackdown-large-scale-surveillance-and-exploitation-of-uyghurs/,,Volexity,
Targeting of BMW and Hyundai,12/6/2019,Ocean Lotus,"Ocean Lotus (aka APT 32), a threat actor aligned with the Vietnamese government, attacked BMW and Hyundai in an attempt to steal automotive trade secrets.",,BMW and Hyundai,Vietnam,Commercial Espionage,Private sector,https://www.zdnet.com/article/bmw-and-hyundai-hacked-by-vietnamese-hackers-report-claims/,https://www.scmagazine.com/home/security-news/apts-cyberespionage/reputed-vietnamese-apt-group-hacks-bmw-hyundai-report/,,"BMW, Federal Office for the Protection of the Constitution",APT 32
Chinese intelligence repurposed NSA tools to attack private companies,5/6/2019,APT 3,The threat actor repurposed hacking tools used against them by the U.S. National Security Agency (NSA) to attack private companies in Asia and Europe. These attacks went undetected for two years.,,"Belgium, Luxembourg, The Philippines, and Vietnam",China,Espionage,Private sector,https://www.symantec.com/blogs/threat-intelligence/buckeye-windows-zero-day-exploit,,,Symantec,APT 3
Targeting of European and North American aerospace companies,10/14/2019,Believed to be the work of Turbine Panda,A threat actor conducted a multiyear espionage effort aimed at the theft of intellectual property from European and North American aerospace companies to further the development of China's C919 aircraft.,,,China,Commercial Espionage,Private sector,https://www.crowdstrike.com/blog/huge-fan-of-your-work-part-1/,https://www.csoonline.com/article/3445230/china-supported-c919-airliner-development-through-cyberespionage.html,,"DoJ, CrowdStrike",APT 26
